pass,forwardresult,backresult,profit,expectedpayoff,profitfactor,recoveryfactor,sharperatio,custom,equityddpercent,trades,slatrmultiplier,tpatrmultiplier,takeprofitpercent,rsibuybelow,rsisellabove,maxdrawdown,winrate,symbol,timeframe,is_start,is_end,oos_start,oos_end
2091,94.21,83.36,1743.45,29.0575,1.67766,4.703002,12.564118,0,3.6376,60,2.0,3.6,55,28,66,3.6376,94.21,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
3220,94.16,91.67,1691.69,21.688333,1.630825,2.873456,13.899837,0,5.0646,78,2.0,2.0,63,30,61,5.0646,94.16,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
2966,93.72,39.44,1585.13,22.325775,1.605534,3.984641,13.179089,0,3.9273,71,2.0,2.0,76,34,76,3.9273,93.72,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
1468,93.65,84.86,1474.4,17.144186,1.605682,3.073203,13.301447,0,4.6899,86,2.0,2.0,50,34,68,4.6899,93.65,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
,93.41,29.28,1498.55,25.399153,1.657758,4.128351,12.230043,0,3.5389,59,2.0,2.0,86,33,79,3.5389,93.41,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
722,93.29,88.45,806.2,10.894595,1.652989,2.429704,6.678776,0,3.2793,74,5.5,2.3,68,32,60,3.2793,93.29,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
4234,93.11,85.84,1783.0,17.144231,1.581378,4.590983,14.543779,0,3.4749,104,2.0,2.0,50,39,61,3.4749,93.11,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
,92.83,70.91,1235.57,17.402394,1.625482,2.520029,13.496057,0,4.8355,71,2.0,2.0,50,29,68,4.8355,92.83,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
527,92.77,84.29,1525.31,16.579457,1.572781,3.775987,12.68186,0,3.7488,92,2.0,2.0,50,27,62,3.7488,92.77,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
4067,92.65,89.48,1740.21,16.573429,1.569232,4.07572,13.225893,0,3.9618,105,2.0,2.0,50,35,62,3.9618,92.65,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
