filename,pass,forwardresult,backresult,profit,expectedpayoff,profitfactor,recoveryfactor,sharperatio,custom,equityddpercent,trades,slatrmultiplier,tpatrmultiplier,takeprofitpercent,rsibuybelow,rsisellabove,maxdrawdown,winrate,symbol,timeframe,is_start,is_end,oos_start,oos_end
XAUUSD_M15_set_024.set,780.0,98.38,82.31,1469.13,23.695645,1.992622,4.328864,19.357414,0,3.3694,62,2.0,2.0,50,27,72,3.3694,98.38,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_025.set,,98.27,74.15,1390.36,21.724375,1.88218,4.638244,8.296382,0,2.961,64,4.8,3.7,72,32,60,2.961,98.27,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_026.set,1999.0,98.19,79.59,1686.32,21.345823,1.793152,5.277997,17.073735,0,3.1688,79,2.0,2.0,50,34,78,3.1688,98.19,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_027.set,,98.1,82.02,1589.23,20.910921,1.792475,3.755802,16.05425,0,3.9217,76,2.0,2.0,50,32,72,3.9217,98.1,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_028.set,801.0,98.1,65.76,1589.03,20.908289,1.792439,3.755329,16.017324,0,3.9218,76,2.0,2.0,50,32,71,3.9218,98.1,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_029.set,,97.97,69.05,2063.45,21.055612,1.774345,5.583381,17.458256,0,3.4376,98,2.0,2.0,50,39,77,3.4376,97.97,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_030.set,3906.0,97.86,78.04,1355.68,21.51873,1.853037,3.982258,17.476978,0,3.1463,63,2.0,2.0,50,27,71,3.1463,97.86,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_031.set,2199.0,97.81,61.31,1913.69,20.800978,1.763686,5.354776,16.72817,0,3.3804,92,2.0,2.0,50,37,78,3.3804,97.81,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_032.set,,97.36,86.55,1339.49,22.324833,1.891674,4.433342,17.451208,0,2.7668,60,2.0,2.0,50,25,72,2.7668,97.36,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_033.set,1459.0,97.34,84.33,1830.05,20.11044,1.737249,4.050127,14.800575,0,4.3094,91,2.0,2.0,50,36,69,4.3094,97.34,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_034.set,2280.0,97.25,77.49,1354.15,22.569167,1.894785,3.342837,17.493869,0,3.7794,60,2.0,2.0,50,27,74,3.7794,97.25,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_035.set,1574.0,97.05,86.82,1372.48,23.262373,1.915023,3.593162,8.571371,0,3.4304,59,4.9,4.9,57,33,61,3.4304,97.05,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_036.set,2715.0,96.95,61.77,1355.27,22.970678,1.905118,3.419118,18.562468,0,3.6218,59,2.0,2.0,50,30,78,3.6218,96.95,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
XAUUSD_M15_set_037.set,1793.0,96.74,35.15,1802.48,26.122899,1.721015,4.545519,14.402028,0,3.9084,69,2.0,2.0,81,34,77,3.9084,96.74,XAUUSD,M15,2025.01.01,2025.06.01,2025.06.02,2025.07.01
